stratum,n_effective,rhfs_pair_count,bootstrap_replicates,alpha,mde80_pct,power_at_mde,power_at_5_pct,power_at_15_pct,noise_sd_min,median_comparator_p95_min
Média congestão,600,99,5000,0.05,6.020507812499999,0.8018,0.5406,1.0,42.54580579934094,148.95
Alta congestão,2800,99,5000,0.05,4.1748046875,0.8048,0.985,1.0,42.54580579934094,148.95
